motif,model,instrument,product_type,fired,n_kept,loss,base_recall
rooster,qwen4,title,ornament,True,54,0.9,1.0
rooster,qwen4,category_leaf,ornament,False,0,0.0,1.0
root,qwen4,title,roots,True,10,0.0,1.0
root,qwen4,category_leaf,roots,False,0,0.0,1.0
roses,qwen4,title,flower,True,2337,0.0,0.0
roses,qwen4,category_leaf,flower,False,0,0.0,0.0
spider,qwen4,title,spider plant,True,307,0.0,0.6578947368421053
spider,qwen4,category_leaf,spider plant,False,0,0.0,0.6578947368421053
starfish,qwen4,title,jewelry,True,400,1.0,1.0
starfish,qwen4,category_leaf,jewelry,False,0,0.0,1.0
succulent,qwen4,title,plant,True,154,0.7142857142857143,1.0
succulent,qwen4,category_leaf,plant,False,0,0.0,1.0
sunflowers,qwen4,title,flower,True,2337,0.02,0.02
sunflowers,qwen4,category_leaf,flower,False,0,0.0,0.02
trunk,qwen4,title,bag,True,12345,0.9574468085106383,1.0
trunk,qwen4,category_leaf,bag,True,5937,1.0,1.0
vine,qwen4,title,vine,True,75,0.0,1.0
vine,qwen4,category_leaf,vine,False,0,0.0,1.0
wing,qwen4,title,winged blazer,True,26,1.0,1.0
wing,qwen4,category_leaf,winged blazer,False,0,0.0,1.0
bear,llama4,title,jewelry,True,400,0.23501199040767387,0.23980815347721823
bear,llama4,category_leaf,jewelry,False,0,0.0,0.23980815347721823
bees,llama4,title,jewelry,True,400,0.10344827586206896,0.10344827586206896
bees,llama4,category_leaf,jewelry,False,0,0.0,0.10344827586206896
birds,llama4,title,jewelry,True,400,0.07777777777777778,0.07777777777777778
birds,llama4,category_leaf,jewelry,False,0,0.0,0.07777777777777778
butterfly,llama4,title,jewelry,True,400,0.12467191601049868,0.13123359580052493
butterfly,llama4,category_leaf,jewelry,False,0,0.0,0.13123359580052493
crab,llama4,title,jewelry,True,400,1.0,1.0
crab,llama4,category_leaf,jewelry,False,0,0.0,1.0
daisy,llama4,title,jewelry,True,400,0.7692307692307693,0.7692307692307693
daisy,llama4,category_leaf,jewelry,False,0,0.0,0.7692307692307693
dinosaur,llama4,title,toys,True,659,0.708029197080292,0.7299270072992701
dinosaur,llama4,category_leaf,toys,False,0,0.0,0.7299270072992701
dinosaurs,llama4,title,toys,True,659,0.0,0.07142857142857142
dinosaurs,llama4,category_leaf,toys,False,0,0.0,0.07142857142857142
elephant,llama4,title,jewelry,True,400,0.3103448275862069,0.31347962382445144
elephant,llama4,category_leaf,jewelry,False,0,0.0,0.31347962382445144
feeder,llama4,title,pet supply,True,10141,0.7,1.0
feeder,llama4,category_leaf,pet supply,True,496,1.0,1.0
fish,llama4,title,jewelry,True,400,0.2801120448179272,0.2801120448179272
fish,llama4,category_leaf,jewelry,False,0,0.0,0.2801120448179272
flamingo,llama4,title,jewelry,True,400,0.7857142857142857,0.7936507936507936
flamingo,llama4,category_leaf,jewelry,False,0,0.0,0.7936507936507936
flamingos,llama4,title,jewelry,True,400,0.0,0.0
flamingos,llama4,category_leaf,jewelry,False,0,0.0,0.0
frog,llama4,title,jewelry,True,400,1.0,1.0
frog,llama4,category_leaf,jewelry,False,0,0.0,1.0
fruit,llama4,title,food,True,317,0.7948717948717948,0.8547008547008547
fruit,llama4,category_leaf,food,False,0,0.0,0.8547008547008547
lily,llama4,title,jewelry,True,400,1.0,1.0
lily,llama4,category_leaf,jewelry,False,0,0.0,1.0
lotus,llama4,title,jewelry,True,400,0.0,0.0
lotus,llama4,category_leaf,jewelry,False,0,0.0,0.0
owls,llama4,title,jewelry,True,400,0.0,0.0
owls,llama4,category_leaf,jewelry,False,0,0.0,0.0
rooster,llama4,title,Home Decor,True,15436,0.8,1.0
rooster,llama4,category_leaf,Home Decor,True,1819,1.0,1.0
root,llama4,title,shoes,True,1069,1.0,1.0
root,llama4,category_leaf,shoes,True,761,1.0,1.0
roses,llama4,title,jewelry,True,400,0.0,0.0
roses,llama4,category_leaf,jewelry,False,0,0.0,0.0
spider,llama4,title,jewelry,True,400,0.6578947368421053,0.6578947368421053
spider,llama4,category_leaf,jewelry,False,0,0.0,0.6578947368421053
starfish,llama4,title,jewelry,True,400,1.0,1.0
starfish,llama4,category_leaf,jewelry,False,0,0.0,1.0
succulent,llama4,title,plant,True,154,0.7142857142857143,1.0
succulent,llama4,category_leaf,plant,False,0,0.0,1.0
sunflowers,llama4,title,Home Decor,True,15436,0.0,0.02
sunflowers,llama4,category_leaf,Home Decor,True,1819,0.02,0.02
trunk,llama4,title,trunk,True,103,0.0,1.0
trunk,llama4,category_leaf,trunk,False,0,0.0,1.0
vine,llama4,title,grapes,True,32,1.0,1.0
vine,llama4,category_leaf,grapes,False,0,0.0,1.0
wing,llama4,title,aircraft,True,64,0.9888888888888889,1.0
wing,llama4,category_leaf,aircraft,True,190,0.9888888888888889,1.0
bear,mistral4,title,Toys,True,659,0.21103117505995206,0.23980815347721823
bear,mistral4,category_leaf,Toys,False,0,0.0,0.23980815347721823
bees,mistral4,title,Home & Garden,True,14648,0.10344827586206896,0.10344827586206896
bees,mistral4,category_leaf,Home & Garden,True,1819,0.10344827586206896,0.10344827586206896
birds,mistral4,title,Home Decor,True,15436,0.07777777777777778,0.07777777777777778
birds,mistral4,category_leaf,Home Decor,True,1819,0.07777777777777778,0.07777777777777778
butterfly,mistral4,title,jewelry,True,400,0.12467191601049868,0.13123359580052493
butterfly,mistral4,category_leaf,jewelry,False,0,0.0,0.13123359580052493
crab,mistral4,title,Kitchen & Dining,True,558,1.0,1.0
crab,mistral4,category_leaf,Kitchen & Dining,False,0,0.0,1.0
daisy,mistral4,title,floral_pattern_clothing,True,3322,0.6384615384615385,0.7692307692307693
daisy,mistral4,category_leaf,floral_pattern_clothing,False,0,0.0,0.7692307692307693
dinosaur,mistral4,title,toy,True,659,0.708029197080292,0.7299270072992701
dinosaur,mistral4,category_leaf,toy,False,0,0.0,0.7299270072992701
dinosaurs,mistral4,title,Toys,True,659,0.0,0.07142857142857142
dinosaurs,mistral4,category_leaf,Toys,False,0,0.0,0.07142857142857142
elephant,mistral4,title,Decorative,True,338,0.3040752351097179,0.31347962382445144
elephant,mistral4,category_leaf,Decorative,False,0,0.0,0.31347962382445144
feeder,mistral4,title,Pet Supplies,True,2839,0.8,1.0
feeder,mistral4,category_leaf,Pet Supplies,True,1417,1.0,1.0
fish,mistral4,title,fish_products,True,1706,0.0,0.2801120448179272
fish,mistral4,category_leaf,fish_products,True,725,0.0,0.2801120448179272
flamingo,mistral4,title,Decorative,True,338,0.7857142857142857,0.7936507936507936
flamingo,mistral4,category_leaf,Decorative,False,0,0.0,0.7936507936507936
flamingos,mistral4,title,Home Decor,True,15436,0.0,0.0
flamingos,mistral4,category_leaf,Home Decor,True,1819,0.0,0.0
frog,mistral4,title,Decorative,True,338,0.9777777777777777,1.0
frog,mistral4,category_leaf,Decorative,False,0,0.0,1.0
fruit,mistral4,title,food,True,317,0.7948717948717948,0.8547008547008547
fruit,mistral4,category_leaf,food,False,0,0.0,0.8547008547008547
lily,mistral4,title,Clothing,True,64,1.0,1.0
lily,mistral4,category_leaf,Clothing,False,0,0.0,1.0
lotus,mistral4,title,Home Decor,True,15436,0.0,0.0
lotus,mistral4,category_leaf,Home Decor,True,1819,0.0,0.0
owls,mistral4,title,Home Decor,True,15436,0.0,0.0
owls,mistral4,category_leaf,Home Decor,True,1819,0.0,0.0
rooster,mistral4,title,Home Decor,True,15436,0.8,1.0
rooster,mistral4,category_leaf,Home Decor,True,1819,1.0,1.0
root,mistral4,title,all,True,8175,1.0,1.0
root,mistral4,category_leaf,all,True,606,1.0,1.0
roses,mistral4,title,flower,True,2337,0.0,0.0
roses,mistral4,category_leaf,flower,False,0,0.0,0.0
spider,mistral4,title,clothing,True,64,0.6578947368421053,0.6578947368421053
spider,mistral4,category_leaf,clothing,False,0,0.0,0.6578947368421053
starfish,mistral4,title,Home Decor,True,15436,0.9444444444444444,1.0
starfish,mistral4,category_leaf,Home Decor,True,1819,1.0,1.0
succulent,mistral4,title,Plant,True,154,0.7142857142857143,1.0
succulent,mistral4,category_leaf,Plant,False,0,0.0,1.0
sunflowers,mistral4,title,Home Decor,True,15436,0.0,0.02
sunflowers,mistral4,category_leaf,Home Decor,True,1819,0.02,0.02
trunk,mistral4,title,luggage,True,1449,0.9680851063829787,1.0
trunk,mistral4,category_leaf,luggage,False,0,0.0,1.0
vine,mistral4,title,Wine,True,289,1.0,1.0
vine,mistral4,category_leaf,Wine,False,0,0.0,1.0
wing,mistral4,title,clothing,True,64,1.0,1.0
wing,mistral4,category_leaf,clothing,False,0,0.0,1.0
bear,gemma4,title,toy,True,659,0.21103117505995206,0.23980815347721823
bear,gemma4,category_leaf,toy,False,0,0.0,0.23980815347721823
bees,gemma4,title,apparel,True,3,0.10344827586206896,0.10344827586206896
bees,gemma4,category_leaf,apparel,False,0,0.0,0.10344827586206896
birds,gemma4,title,toys,True,659,0.07777777777777778,0.07777777777777778
birds,gemma4,category_leaf,toys,False,0,0.0,0.07777777777777778
butterfly,gemma4,title,jewelry,True,400,0.12467191601049868,0.13123359580052493
butterfly,gemma4,category_leaf,jewelry,False,0,0.0,0.13123359580052493
crab,gemma4,title,kitchenware,True,1,1.0,1.0
crab,gemma4,category_leaf,kitchenware,False,0,0.0,1.0
daisy,gemma4,title,flower,True,2337,0.5615384615384615,0.7692307692307693
daisy,gemma4,category_leaf,flower,False,0,0.0,0.7692307692307693
dinosaur,gemma4,title,toy,True,659,0.708029197080292,0.7299270072992701
dinosaur,gemma4,category_leaf,toy,False,0,0.0,0.7299270072992701
dinosaurs,gemma4,title,toys,True,659,0.0,0.07142857142857142
dinosaurs,gemma4,category_leaf,toys,False,0,0.0,0.07142857142857142
elephant,gemma4,title,toy,True,659,0.3103448275862069,0.31347962382445144
elephant,gemma4,category_leaf,toy,False,0,0.0,0.31347962382445144
feeder,gemma4,title,pet supplies,True,2839,0.8,1.0
feeder,gemma4,category_leaf,pet supplies,True,1417,1.0,1.0
fish,gemma4,title,aquarium,True,47,0.23529411764705882,0.2801120448179272
fish,gemma4,category_leaf,aquarium,False,0,0.0,0.2801120448179272
flamingo,gemma4,title,clothing,True,64,0.7936507936507936,0.7936507936507936
flamingo,gemma4,category_leaf,clothing,False,0,0.0,0.7936507936507936
flamingos,gemma4,title,home decor,True,15436,0.0,0.0
flamingos,gemma4,category_leaf,home decor,True,1819,0.0,0.0
frog,gemma4,title,toy,True,659,0.9888888888888889,1.0
frog,gemma4,category_leaf,toy,False,0,0.0,1.0
fruit,gemma4,title,food,True,317,0.7948717948717948,0.8547008547008547
fruit,gemma4,category_leaf,food,False,0,0.0,0.8547008547008547
lily,gemma4,title,flower,True,2337,0.8148148148148149,1.0
lily,gemma4,category_leaf,flower,False,0,0.0,1.0
lotus,gemma4,title,flower,True,2337,0.0,0.0
lotus,gemma4,category_leaf,flower,False,0,0.0,0.0
owls,gemma4,title,home decor,True,15436,0.0,0.0
owls,gemma4,category_leaf,home decor,True,1819,0.0,0.0
rooster,gemma4,title,home decor,True,15436,0.8,1.0
rooster,gemma4,category_leaf,home decor,True,1819,1.0,1.0
root,gemma4,title,tree,True,1111,0.875,1.0
root,gemma4,category_leaf,tree,False,0,0.0,1.0
roses,gemma4,title,flowers,True,2337,0.0,0.0
roses,gemma4,category_leaf,flowers,False,0,0.0,0.0
spider,gemma4,title,toy,True,659,0.6513157894736843,0.6578947368421053
spider,gemma4,category_leaf,toy,False,0,0.0,0.6578947368421053
starfish,gemma4,title,home decor,True,15436,0.9444444444444444,1.0
starfish,gemma4,category_leaf,home decor,True,1819,1.0,1.0
succulent,gemma4,title,plant,True,154,0.7142857142857143,1.0
succulent,gemma4,category_leaf,plant,False,0,0.0,1.0
sunflowers,gemma4,title,art,True,1037,0.02,0.02
sunflowers,gemma4,category_leaf,art,False,0,0.0,0.02
trunk,gemma4,title,car_accessories,True,20732,0.6170212765957447,1.0
trunk,gemma4,category_leaf,car_accessories,True,17398,0.9787234042553191,1.0
vine,gemma4,title,plant,True,154,0.9491525423728814,1.0
vine,gemma4,category_leaf,plant,False,0,0.0,1.0
wing,gemma4,title,clothing,True,64,1.0,1.0
wing,gemma4,category_leaf,clothing,False,0,0.0,1.0
